scenario,scenario_label,run,seed,encountered_unique_issues,raw_reports,accepted_contributions,invalid_reports,merged_duplicates,unmerged_duplicates,workorders,emergency_referrals,effective_report_rate,duplicate_or_invalid_rate,dispatch_accuracy,mean_resolution_hours,mean_submission_minutes,participation_gap_pp,rider_participation_rate,driver_participation_rate,issue_coverage_rate,resolution_rate,late_period_participation_rate
S2,AI 上报加透明反馈,9,20260914,1023,968,697,221,165,50,582,31,0.7200413223140496,0.2799586776859504,0.872852233676976,27.8432056237388,2.977448481822987,3.854993472422852,0.4123989218328841,0.3738489871086556,0.520039100684262,0.8487972508591065,0.40765391014975044
S3,AI 上报加透明反馈加差异化激励,9,20260914,1023,1137,783,277,196,77,664,47,0.6886543535620053,0.3113456464379947,0.8298192771084337,27.239156591203702,2.9829773534506456,0.3477734260596721,0.47493261455525604,0.4714548802946593,0.5738025415444771,0.8719879518072289,0.4891846921797005
S0,现状基准,10,20260914,994,307,172,120,1,15,186,9,0.5602605863192183,0.43973941368078173,0.6129032258064516,50.369441939488354,7.97311434304856,1.2758320295314762,0.12914485165794065,0.1419031719532554,0.1720321931589537,0.7688172043010753,0.13333333333333333
S1,AI 上报,10,20260914,994,667,490,157,87,20,423,37,0.7346326836581709,0.2653673163418291,0.8156028368794326,33.54730083550536,3.020727225881554,0.1438309534700588,0.2873763816172193,0.2888146911519199,0.40543259557344064,0.8321513002364066,0.28596491228070176
S2,AI 上报加透明反馈,10,20260914,994,917,653,229,139,35,549,35,0.7121046892039259,0.28789531079607417,0.8579234972677595,27.712614858509387,2.992608692226253,3.368713222833092,0.40430482838859805,0.37061769616026713,0.5171026156941649,0.8743169398907104,0.3824561403508772
S3,AI 上报加透明反馈加差异化激励,10,20260914,994,1118,783,248,192,87,678,44,0.7003577817531306,0.29964221824686943,0.855457227138643,27.70890824326616,3.026962912430904,0.6539889538604682,0.4840023269342641,0.4774624373956594,0.5945674044265593,0.8569321533923304,0.5526315789473685
S0,现状基准,11,20260914,992,264,151,98,1,15,165,12,0.571969696969697,0.42803030303030304,0.5818181818181818,48.336999165699766,7.923386941937274,0.49890633832239684,0.11447811447811448,0.10948905109489052,0.15120967741935484,0.7515151515151515,0.11960132890365449
S1,AI 上报,11,20260914,992,689,493,168,81,28,440,27,0.7155297532656023,0.2844702467343977,0.8318181818181818,33.41448651656393,2.9911703646745313,2.636052331916078,0.30190796857463525,0.2755474452554745,0.4153225806451613,0.825,0.2857142857142857
S2,AI 上报加透明反馈,11,20260914,992,898,655,205,139,38,554,34,0.7293986636971047,0.27060133630289535,0.8339350180505415,27.615147645640917,3.004084437634581,6.252099256965438,0.4001122334455668,0.3375912408759124,0.5201612903225806,0.868231046931408,0.38372093023255816
S3,AI 上报加透明反馈加差异化激励,11,20260914,992,1104,753,288,170,63,646,41,0.6820652173913043,0.3179347826086957,0.8560371517027864,27.23537177209586,3.000223058756036,5.643621945325111,0.48709315375982043,0.4306569343065693,0.5877016129032258,0.8544891640866873,0.4833887043189369
