scenario,scenario_label,metric,mean,ci95_low,ci95_high,runs
S0,现状基准,effective_report_rate,0.5352651232889318,0.5262630183918691,0.5442672281859946,20
S0,现状基准,duplicate_or_invalid_rate,0.46473487671106817,0.45573277181400546,0.4737369816081309,20
S0,现状基准,dispatch_accuracy,0.6464046526987601,0.6297027639171248,0.6631065414803955,20
S0,现状基准,mean_resolution_hours,51.664244812242224,50.886546322885195,52.44194330159925,20
S0,现状基准,mean_submission_minutes,8.01118956727743,7.981296554011666,8.041082580543193,20
S0,现状基准,participation_gap_pp,1.19498437246953,0.9126099847009558,1.4773587602381042,20
S0,现状基准,issue_coverage_rate,0.15278908068054306,0.14820473120580874,0.15737343015527738,20
S0,现状基准,resolution_rate,0.7891921517291415,0.7747439382738337,0.8036403651844493,20
S0,现状基准,late_period_participation_rate,0.12229872843948988,0.11619254353303066,0.1284049133459491,20
S1,AI 上报,effective_report_rate,0.719480458136501,0.7122441185199934,0.7267167977530086,20
S1,AI 上报,duplicate_or_invalid_rate,0.280519541863499,0.2732832022469914,0.2877558814800066,20
S1,AI 上报,dispatch_accuracy,0.8524060421189772,0.844864180081886,0.8599479041560684,20
S1,AI 上报,mean_resolution_hours,32.385250114616035,32.09448399215552,32.67601623707655,20
S1,AI 上报,mean_submission_minutes,2.9973208764612362,2.989125744051824,3.0055160088706483,20
S1,AI 上报,participation_gap_pp,2.3288525393191577,1.6106523669730795,3.047052711665236,20
S1,AI 上报,issue_coverage_rate,0.4178459620772048,0.40907972550227295,0.4266121986521367,20
S1,AI 上报,resolution_rate,0.8308515272369311,0.82430588090698,0.8373971735668823,20
S1,AI 上报,late_period_participation_rate,0.2958049539667803,0.2882230507460791,0.3033868571874815,20
S2,AI 上报加透明反馈,effective_report_rate,0.7142556763224286,0.7069459183087649,0.7215654343360923,20
S2,AI 上报加透明反馈,duplicate_or_invalid_rate,0.2857443236775715,0.27843456566390773,0.2930540816912353,20
S2,AI 上报加透明反馈,dispatch_accuracy,0.8568205114246034,0.851411303085828,0.8622297197633787,20
S2,AI 上报加透明反馈,mean_resolution_hours,27.197426807364742,27.034889684582517,27.359963930146968,20
S2,AI 上报加透明反馈,mean_submission_minutes,2.9962316817789505,2.9887273340470766,3.0037360295108244,20
S2,AI 上报加透明反馈,participation_gap_pp,2.8127542835669748,1.9037307229874831,3.7217778441464664,20
S2,AI 上报加透明反馈,issue_coverage_rate,0.5221663152155027,0.5141846350080089,0.5301479954229965,20
S2,AI 上报加透明反馈,resolution_rate,0.8715943155249486,0.8638272430133115,0.8793613880365857,20
S2,AI 上报加透明反馈,late_period_participation_rate,0.40201084563311645,0.391542748936489,0.4124789423297439,20
S3,AI 上报加透明反馈加差异化激励,effective_report_rate,0.7011771725915295,0.6958858186423872,0.7064685265406717,20
S3,AI 上报加透明反馈加差异化激励,duplicate_or_invalid_rate,0.29882282740847055,0.2935314734593283,0.3041141813576128,20
S3,AI 上报加透明反馈加差异化激励,dispatch_accuracy,0.8522163596622626,0.8451631929224103,0.859269526402115,20
S3,AI 上报加透明反馈加差异化激励,mean_resolution_hours,27.164009278241537,26.973107435910578,27.354911120572496,20
S3,AI 上报加透明反馈加差异化激励,mean_submission_minutes,3.002685758223413,2.997145000478285,3.008226515968541,20
S3,AI 上报加透明反馈加差异化激励,participation_gap_pp,2.783005617339561,1.3968811539214092,4.1691300807577125,20
S3,AI 上报加透明反馈加差异化激励,issue_coverage_rate,0.5959572054740347,0.5873986318325131,0.6045157791155564,20
S3,AI 上报加透明反馈加差异化激励,resolution_rate,0.8641186058233294,0.8585262899806303,0.8697109216660286,20
S3,AI 上报加透明反馈加差异化激励,late_period_participation_rate,0.4934944204593791,0.483758422921845,0.5032304179969131,20
