transition,from_scenario,to_scenario,metric,mean_difference,ci95_low,ci95_high,runs
S0->S1,S0,S1,effective_report_rate,0.1842153348475692,0.17358700549219552,0.19484366420294286,20
S0->S1,S0,S1,duplicate_or_invalid_rate,-0.18421533484756922,-0.19484366420294288,-0.17358700549219555,20
S0->S1,S0,S1,dispatch_accuracy,0.2060013894202169,0.18894150990840608,0.2230612689320277,20
S0->S1,S0,S1,mean_resolution_hours,-19.278994697626185,-20.19366178859131,-18.36432760666106,20
S0->S1,S0,S1,mean_submission_minutes,-5.013868690816193,-5.044951415881183,-4.982785965751203,20
S0->S1,S0,S1,participation_gap_pp,1.1338681668496275,0.3287148233794611,1.9390215103197939,20
S0->S1,S0,S1,issue_coverage_rate,0.2650568813966617,0.2570554849844302,0.27305827780889325,20
S0->S1,S0,S1,resolution_rate,0.04165937550778963,0.02870760106449126,0.054611149951088,20
S0->S1,S0,S1,late_period_participation_rate,0.17350622552729045,0.16317528847361668,0.18383716258096422,20
S1->S2,S1,S2,effective_report_rate,-0.005224781814072488,-0.017495637532235313,0.007046073904090339,20
S1->S2,S1,S2,duplicate_or_invalid_rate,0.005224781814072495,-0.00704607390409033,0.01749563753223532,20
S1->S2,S1,S2,dispatch_accuracy,0.0044144693056262065,-0.005065255759753269,0.013894194371005683,20
S1->S2,S1,S2,mean_resolution_hours,-5.187823307251295,-5.473538690819296,-4.902107923683295,20
S1->S2,S1,S2,mean_submission_minutes,-0.0010891946822857435,-0.012157897612047544,0.009979508247476057,20
S1->S2,S1,S2,participation_gap_pp,0.4839017442478172,-0.6834833946208642,1.6512868831164984,20
S1->S2,S1,S2,issue_coverage_rate,0.10432035313829797,0.09543447077306534,0.11320623550353061,20
S1->S2,S1,S2,resolution_rate,0.04074278828801751,0.03167549160395466,0.04981008497208036,20
S1->S2,S1,S2,late_period_participation_rate,0.10620589166633605,0.09326550861248513,0.11914627472018698,20
S2->S3,S2,S3,effective_report_rate,-0.013078503730899055,-0.02332118934533603,-0.002835818116462078,20
S2->S3,S2,S3,duplicate_or_invalid_rate,0.013078503730899074,0.0028358181164621094,0.023321189345336037,20
S2->S3,S2,S3,dispatch_accuracy,-0.0046041517623406965,-0.013130352077176886,0.003922048552495493,20
S2->S3,S2,S3,mean_resolution_hours,-0.033417529123200576,-0.24558520884442747,0.1787501505980263,20
S2->S3,S2,S3,mean_submission_minutes,0.006454076444462253,-0.0024079192949564548,0.01531607218388096,20
S2->S3,S2,S3,participation_gap_pp,-0.029748666227413557,-1.8954426738797883,1.8359453414249611,20
S2->S3,S2,S3,issue_coverage_rate,0.07379089025853205,0.06440959492218637,0.08317218559487774,20
S2->S3,S2,S3,resolution_rate,-0.007475709701619082,-0.015881723994263876,0.0009303045910257117,20
S2->S3,S2,S3,late_period_participation_rate,0.09148357482626261,0.07602309686740141,0.10694405278512381,20
S0->S3,S0,S3,effective_report_rate,0.16591204930259768,0.1557814937704111,0.17604260483478426,20
S0->S3,S0,S3,duplicate_or_invalid_rate,-0.16591204930259765,-0.17604260483478423,-0.15578149377041106,20
S0->S3,S0,S3,dispatch_accuracy,0.20581170696350243,0.18877788149517793,0.22284553243182692,20
S0->S3,S0,S3,mean_resolution_hours,-24.500235534000684,-25.348270549140054,-23.652200518861314,20
S0->S3,S0,S3,mean_submission_minutes,-5.008503809054016,-5.036942848591078,-4.980064769516954,20
S0->S3,S0,S3,participation_gap_pp,1.5880212448700313,0.10244414305298077,3.0735983466870818,20
S0->S3,S0,S3,issue_coverage_rate,0.4431681247934917,0.43548646590600526,0.45084978368097817,20
S0->S3,S0,S3,resolution_rate,0.07492645409418805,0.05906493838449667,0.09078796980387943,20
S0->S3,S0,S3,late_period_participation_rate,0.3711956920198891,0.35983394129301366,0.38255744274676456,20
